RegPeltierTempColdsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierForceTemp,
2166,5,0,2200,500,100,0,0,
2166,5,0,2200,500,100,0,0,
2166,5,0,2200,500,100,0,0,
2166,5,0,2200,500,100,0,0,
2166,5,0,2200,500,100,0,0,
2169,5,0,2200,500,100,0,0,
2169,5,0,2200,500,100,0,0,
2169,5,0,2200,500,100,0,0,
2169,5,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2171,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,4,0,2200,500,100,0,0,
2170,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2168,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2166,0,1,2200,500,100,0,2100,
2164,0,1,2200,500,100,0,2100,
2164,0,1,2200,500,100,0,2100,
2164,0,1,2200,500,100,0,2100,
2164,0,1,2200,500,100,0,2100,
2151,0,1,2200,500,100,0,2100,
2151,0,1,2200,500,100,0,2100,
2151,0,1,2200,500,100,0,2100,
2151,0,1,2200,500,100,0,2100,
2151,0,1,2200,500,100,0,2100,
2064,0,1,2200,500,100,0,0,
2064,0,1,2200,500,100,0,0,
2064,0,1,2200,500,100,0,0,
