RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
2154,1993,56,0,2200,270,2000,0,0,
2154,1994,56,0,2200,270,2000,0,0,
2154,1995,56,0,2200,270,2000,0,0,
2155,1996,56,0,2200,270,2000,0,0,
2157,1994,56,0,2200,270,2000,0,0,
2157,1994,56,0,2200,270,2000,0,0,
2159,1994,56,0,2200,270,2000,0,0,
2159,1994,56,0,2200,270,2000,0,0,
2160,1993,56,0,2200,270,2000,0,0,
2161,1991,56,0,2200,270,2000,0,0,
2163,1989,56,0,2200,270,2000,0,0,
2164,1988,56,0,2200,270,2000,0,0,
2165,1988,56,0,2200,270,2000,0,0,
2165,1990,56,0,2200,270,2000,0,0,
2165,1990,56,0,2200,270,2000,0,0,
2166,1989,56,0,2200,270,2000,0,0,
2167,1989,56,0,2200,270,2000,0,0,
2168,1990,56,0,2200,270,2000,0,0,
2167,1977,56,0,2200,270,2000,0,0,
2168,1975,56,0,2200,270,2000,0,0,
2169,1973,56,0,2200,270,2000,0,0,
2171,1985,56,0,2200,270,2000,0,0,
2172,1985,56,0,2200,270,2000,0,0,
2173,1986,56,0,2200,270,2000,0,0,
2173,1986,56,0,2200,270,2000,0,0,
2173,1986,56,0,2200,270,2000,0,0,
2174,1983,56,0,2200,270,2000,0,0,
2176,1983,56,0,2200,270,2000,0,0,
2176,1982,56,0,2200,270,2000,0,0,
2177,1983,56,0,2200,270,2000,0,0,
2177,1982,56,0,2200,270,2000,0,0,
2178,1982,56,0,2200,270,2000,0,0,
2180,1982,56,0,2200,270,2000,0,0,
2181,1980,56,0,2200,270,2000,0,0,
2182,1980,54,0,2200,270,2000,0,0,
2182,1979,54,0,2200,270,2000,0,0,
2182,1979,54,0,2200,270,2000,0,0,
2182,1980,54,0,2200,270,2000,0,0,
2183,1981,54,0,2200,270,2000,0,0,
2184,1979,48,0,2200,270,2000,0,0,
2186,1978,48,0,2200,270,2000,0,0,
2186,1979,48,0,2200,270,2000,0,0,
2185,1978,42,0,2200,270,2000,0,0,
2187,1979,42,0,2200,270,2000,0,0,
2189,1976,36,0,2200,270,2000,0,0,
2189,1976,36,0,2200,270,2000,0,0,
2190,1975,36,0,2200,270,2000,0,0,
2190,1977,30,0,2200,270,2000,0,0,
2191,1978,30,0,2200,270,2000,0,0,
2191,1978,30,0,2200,270,2000,0,0,
2193,1978,27,0,2200,270,2000,0,0,
2194,1977,27,0,2200,270,2000,0,0,
2192,1977,21,0,2200,270,2000,0,0,
2192,1976,21,0,2200,270,2000,0,0,
2194,1974,21,0,2200,270,2000,0,0,
2192,1972,18,0,2200,270,2000,0,0,
2192,1973,18,0,2200,270,2000,0,0,
2192,1972,27,0,2200,270,2000,0,0,
2194,1973,27,0,2200,270,2000,0,0,
2194,1972,27,0,2200,270,2000,0,0,
2194,1970,15,0,2200,270,2000,0,0,
2194,1971,15,0,2200,270,2000,0,0,
2193,1972,18,0,2200,270,2000,0,0,
2193,1973,18,0,2200,270,2000,0,0,
2192,1973,18,0,2200,270,2000,0,0,
2192,1972,24,0,2200,270,2000,0,0,
2193,1971,24,0,2200,270,2000,0,0,
2193,1969,21,0,2200,270,2000,0,0,
2192,1969,21,0,2200,270,2000,0,0,
2192,1968,21,0,2200,270,2000,0,0,
2193,1968,24,0,2200,270,2000,0,0,
2191,1970,24,0,2200,270,2000,0,0,
2191,1970,24,0,2200,270,2000,0,0,
2192,1969,27,0,2200,270,2000,0,0,
2193,1968,27,0,2200,270,2000,0,0,
2193,1968,21,0,2200,270,2000,0,0,
2192,1970,21,0,2200,270,2000,0,0,
2191,1968,27,0,2200,270,2000,0,0,
2191,1969,27,0,2200,270,2000,0,0,
2192,1968,27,0,2200,270,2000,0,0,
2193,1971,24,0,2200,270,2000,0,0,
2193,1971,24,0,2200,270,2000,0,0,
2192,1971,24,0,2200,270,2000,0,0,
2191,1971,24,0,2200,270,2000,0,0,
2193,1969,24,0,2200,270,2000,0,0,
2192,1968,21,0,2200,270,2000,0,0,
2193,1967,21,0,2200,270,2000,0,0,
2191,1967,21,0,2200,270,2000,0,0,
2193,1966,27,0,2200,270,2000,0,0,
2193,1968,27,0,2200,270,2000,0,0,
2194,1970,21,0,2200,270,2000,0,0,
2194,1969,21,0,2200,270,2000,0,0,
2193,1967,21,0,2200,270,2000,0,0,
2192,1965,21,0,2200,270,2000,0,0,
2202,1966,21,0,2200,270,2000,0,0,
2203,1968,93,1,2200,270,2000,0,0,
2205,1968,93,1,2200,270,2000,0,0,
2195,1967,93,1,2200,270,2000,0,0,
